city,lat,lon
Hinvi,6.76667,2.16667
Houston,29.6211025,-95.2632201
Panyingkiran,-6.813931,108.1784455
Qārah,34.1540161,36.7442377
Nishishinminato,36.7806554,137.0779342
Ituiutaba,-18.9745738,-49.4600885
Qianjin,46.814102,130.375062
Hongguang,31.207378,121.4174914
Qinglian,32.6180396,110.7762387
Haocun,27.587249,118.473619
Taibai,34.058401,107.319116
Jiquinlaca,14,-88.35
Pando,-34.7117766,-55.963705
Bình Thủy,10.0622567,105.7381017
Songshan,34.519664,113.004052
Al Ghuwayrīyah,25.8447931,51.2453739
Meziměstí,50.6261687,16.2483966
Kupavna,55.7372478,38.1800493
Melíki,40.5200214,22.3953372
El Suyatal,14.5272379,-87.2157947
Sulangan,10.7930794,125.6860723
Koszyce Wielkie,49.9776657,20.9421091
Krajan Keboromo,-7.9636675,112.6225104
Nizhniy Lomov,53.5313317,43.6704377
Ongabelen,-8.3340386,123.201959
Kaiyun,31.5126804,120.2947416
Yanglong,34.272117,108.084731
Marshintsy,48.2113225,26.3003025
Qinggou,36.067108,120.382609
Paraíso,9.0343296,-79.4942916
Malata,-9.4550725,119.3801998
Ridder,50.3382214,83.5062548
El Galpón,-25.4809333,-64.9751483
San Vicente,14.7596318,121.0589081
Wuqishan,27.756647,118.035309
Hantai,33.06777,107.031856
Wuppertal,51.256002,7.1736304
Al Wuday‘,13.76857,46.011871
Whittier,33.97,-118.07
Obonoma,4.6845489,6.7815237
San Agustin,20.5439984,-103.4649786
Banjar Kawan,-8.6354966,115.1573613
Liloan,10.133099,125.182333
Shofirkon,40.1324085,64.4911086
Debre Sīna,9.8499058,39.7626791
Nanyang,32.990664,112.528308
Guadalupe,18.8826771,-96.935003
Yekimovichi,54.11285,33.29648
Lāliān,31.5769405,72.4156898
Cikandang,-7.382645,107.7458559
Mardakyany,40.4810579,50.1454455
Liugong,24.3154419,109.3656914
Ciervo Petiso,-26.58041,-59.63094
Dolní Cerekev,49.346063,15.4432354
Datartua,-7.4839,108.2332
Huacho,-11.1227218,-77.6105679
Kvissleby,62.2600127,17.3781406
Hanjianglu,25.45872,119.116289
Neglasari,-6.147133,106.6232359
København,55.6760366,12.5657728
Kupiskis,55.8395478,24.9815513
Minle,38.430793,100.812859
Izyum,49.2121445,37.2665006
Konibodom,40.2982408,70.419388
Jinji,31.3115396,120.6947551
Sarnaki,52.3147542,22.8893801
Zuwārah,32.9234588,12.0775411
Akkol’,51.9956496,70.9359277
Luci,26.853097,109.386371
Surovikino,48.6085692,42.8455406
Shuiche,27.676355,110.996803
Santa Rosa de Viterbo,-21.4909206,-47.37045
Yihe,23.2196922,113.3138804
Zhongshan,22.517585,113.39277
Desa Baregbeg,-7.3000408,108.3682641
Mabu,23.369136,102.214609
Souflí,41.1943451,26.2992566
Haodi,31.0507836,121.7458676
Caimitillo,9.165288,-79.5434841
Adar,30.145,-8.369444
Ursynów,51.569012,21.376182
Kitcharao,9.453835,125.574534
Maragogipe,-12.7772947,-38.9211273
Légua,40.5982816,-8.643537
Young,-32.7021934,-57.6382382
Seren Barat,-7.6838962,109.9764822
El Hatillo,10.4151473,-66.7962869
Saint-Jérôme,45.7738831,-73.9771044
Kota Kinabalu,5.9840985,116.0761121
Baratleke,-6.9506,112.9961
Uzhhorod,48.6208,22.287883
Hengdian,29.1520649,120.3168231
Yushugou,43.897258,89.939332
Honiara,-9.4456381,159.9728999
Furudate,38.2643887,140.2604198
Lukavice,49.8229025,16.9204034
Olleros,-12.2179111,-76.5148607
Acton Vale,45.65007,-72.56582
Barrhead,54.1187723,-114.3954066
Reading,40.3380072,-75.9753516
